scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
230,1,400,346.1155,0.0680,345.3161,345.1083,345.1083,0.1748,100.00,912,0
230,1,119,190.1295,0.0516,189.2343,189.1222,189.1222,0.1748,100.00,650,87
231,1,656,346.1161,0.0739,345.3167,345.1089,345.1089,0.0446,100.00,791,0
231,1,443,190.1299,0.0482,189.2347,189.1227,189.1227,0.0403,100.00,740,87
232,1,66,346.1177,0.0829,345.3183,345.1104,345.1104,0.0000,100.00,720,0
232,1,370,437.1638,0.1800,429.4014,429.1390,429.1390,0.0449,4.94,83,0
233,3,1,401.9100,0.2760,1203.4378,1202.7081,1202.7081,0.0000,4.28,368,0
234,4,263,306.9584,0.1096,1224.5467,1223.8045,1223.8045,0.2028,100.00,1547,207
234,3,349,401.9100,0.2718,1203.4378,1202.7081,1202.7081,0.0368,4.28,368,0
235,4,800,306.9575,0.1294,1224.5432,1223.8011,1223.8011,0.0423,100.00,1564,597
235,3,220,401.9100,0.3545,1203.4378,1202.7081,1202.7081,0.0423,4.28,368,0
236,4,1122,306.9579,0.1079,1224.5445,1223.8023,1223.8023,0.0523,100.00,1687,597
236,2,544,288.1637,0.0380,574.6684,574.3129,574.3129,0.0383,100.00,615,15
236,3,81,401.9100,0.3182,1203.4378,1202.7081,1202.7081,0.0383,4.28,368,0
236,3,55,354.5321,0.0973,1061.2197,1060.5744,1060.5744,0.0383,8.66,309,28
237,4,145,306.9594,0.1112,1224.5506,1223.8085,1223.8085,0.0000,100.00,1602,597
237,2,294,288.1619,0.0301,574.6646,574.3092,574.3092,0.0269,100.00,688,15
237,3,425,354.5311,0.1246,1061.2168,1060.5715,1060.5715,0.0362,8.73,365,28
238,4,158,306.9581,0.1390,1224.5455,1223.8033,1223.8033,0.0000,100.00,958,597
238,3,312,403.5695,0.2923,1207.4234,1206.6836,1206.6836,0.0781,100.00,468,29
238,3,378,354.1860,0.1105,1060.1814,1059.5362,1059.5362,0.0467,3.21,571,237
238,3,29,437.1719,0.3239,1309.2895,1308.4938,1308.4938,0.0467,100.00,306,0
239,3,152,354.1874,0.0732,1060.1857,1059.5405,1059.5405,0.0000,4.84,680,237
239,3,297,403.2205,0.1954,1207.3794,1206.6398,1206.6398,0.0666,4.90,468,130
239,3,68,437.1717,0.2536,1309.2890,1308.4933,1308.4933,0.0666,100.00,314,242
239,3,62,415.1965,0.1236,1242.3210,1241.5646,1241.5646,0.0666,100.00,281,66
240,3,317,354.1874,0.0751,1060.1857,1059.5405,1059.5405,0.9647,4.84,680,122
240,3,188,414.8651,0.1143,1242.3297,1241.5734,1241.5734,0.9647,100.00,596,66
240,3,416,437.5472,0.0819,1310.4158,1309.6199,1309.6199,0.9647,3.93,495,116
